Season,Competition Name,# Squads,Champion,Top Scorer,url,Format
2024-2025,GER-BL1,18,,Andrej Kramarić - 3,/en/comps/20/Bundesliga-Stats,round-robin
2023-2024,GER-BL1,18,Bayer Leverkusen - 90,Harry Kane - 36,/en/comps/20/2023-2024/2023-2024-Bundesliga-Stats,round-robin
2022-2023,GER-BL1,18,Bayern Munich - 71,"Niclas Füllkrug, Christopher Nkunku - 16",/en/comps/20/2022-2023/2022-2023-Bundesliga-Stats,round-robin
2021-2022,GER-BL1,18,Bayern Munich - 77,Robert Lewandowski - 35,/en/comps/20/2021-2022/2021-2022-Bundesliga-Stats,round-robin
2020-2021,GER-BL1,18,Bayern Munich - 78,Robert Lewandowski - 41,/en/comps/20/2020-2021/2020-2021-Bundesliga-Stats,round-robin
2019-2020,GER-BL1,18,Bayern Munich - 82,Robert Lewandowski - 34,/en/comps/20/2019-2020/2019-2020-Bundesliga-Stats,round-robin
2018-2019,GER-BL1,18,Bayern Munich - 78,Robert Lewandowski - 22,/en/comps/20/2018-2019/2018-2019-Bundesliga-Stats,round-robin
2017-2018,GER-BL1,18,Bayern Munich - 84,Robert Lewandowski - 29,/en/comps/20/2017-2018/2017-2018-Bundesliga-Stats,round-robin
2016-2017,GER-BL1,18,Bayern Munich - 82,Pierre-Emerick Aubameyang - 31,/en/comps/20/2016-2017/2016-2017-Bundesliga-Stats,round-robin
2015-2016,GER-BL1,18,Bayern Munich - 88,Robert Lewandowski - 30,/en/comps/20/2015-2016/2015-2016-Bundesliga-Stats,round-robin
2014-2015,GER-BL1,18,Bayern Munich - 79,Alexander Meier - 19,/en/comps/20/2014-2015/2014-2015-Bundesliga-Stats,round-robin
2013-2014,GER-BL1,18,Bayern Munich - 90,Robert Lewandowski - 20,/en/comps/20/2013-2014/2013-2014-Bundesliga-Stats,round-robin
2012-2013,GER-BL1,18,Bayern Munich - 91,Stefan Kießling - 25,/en/comps/20/2012-2013/2012-2013-Bundesliga-Stats,round-robin
2011-2012,GER-BL1,18,Dortmund - 81,Klaas-Jan Huntelaar - 29,/en/comps/20/2011-2012/2011-2012-Bundesliga-Stats,round-robin
2010-2011,GER-BL1,18,Dortmund - 75,Mario Gómez - 28,/en/comps/20/2010-2011/2010-2011-Bundesliga-Stats,round-robin
2009-2010,GER-BL1,18,Bayern Munich - 70,Edin Džeko - 22,/en/comps/20/2009-2010/2009-2010-Bundesliga-Stats,round-robin
2008-2009,GER-BL1,18,Wolfsburg - 69,Grafite - 28,/en/comps/20/2008-2009/2008-2009-Bundesliga-Stats,round-robin
2007-2008,GER-BL1,18,Bayern Munich - 76,Luca Toni - 24,/en/comps/20/2007-2008/2007-2008-Bundesliga-Stats,round-robin
2006-2007,GER-BL1,18,Stuttgart - 70,Theofanis Gekas - 20,/en/comps/20/2006-2007/2006-2007-Bundesliga-Stats,round-robin
2005-2006,GER-BL1,18,Bayern Munich - 75,Miroslav Klose - 25,/en/comps/20/2005-2006/2005-2006-Bundesliga-Stats,round-robin
2004-2005,GER-BL1,18,Bayern Munich - 77,Marek Mintál - 24,/en/comps/20/2004-2005/2004-2005-Bundesliga-Stats,round-robin
2003-2004,GER-BL1,18,Werder Bremen - 74,Aílton Gonçalves - 28,/en/comps/20/2003-2004/2003-2004-Bundesliga-Stats,round-robin
2002-2003,GER-BL1,18,Bayern Munich - 75,"Giovane Élber, Thomas Christiansen - 21",/en/comps/20/2002-2003/2002-2003-Bundesliga-Stats,round-robin
2001-2002,GER-BL1,18,Dortmund - 70,"Martin Max, Márcio Amoroso - 18",/en/comps/20/2001-2002/2001-2002-Bundesliga-Stats,round-robin
2000-2001,GER-BL1,18,Bayern Munich - 63,"Sergej Barbarez, Ebbe Sand - 22",/en/comps/20/2000-2001/2000-2001-Bundesliga-Stats,round-robin
1999-2000,GER-BL1,18,Bayern Munich - 73,Martin Max - 19,/en/comps/20/1999-2000/1999-2000-Bundesliga-Stats,round-robin
1998-1999,GER-BL1,18,Bayern Munich - 78,Michael Preetz - 23,/en/comps/20/1998-1999/1998-1999-Bundesliga-Stats,round-robin
1997-1998,GER-BL1,18,Kaiserslautern - 68,Ulf Kirsten - 22,/en/comps/20/1997-1998/1997-1998-Bundesliga-Stats,round-robin
1996-1997,GER-BL1,18,Bayern Munich - 71,Ulf Kirsten - 22,/en/comps/20/1996-1997/1996-1997-Bundesliga-Stats,round-robin
1995-1996,GER-BL1,18,Dortmund - 68,Fredi Bobic - 17,/en/comps/20/1995-1996/1995-1996-Bundesliga-Stats,round-robin
1994-1995,GER-BL1,18,Dortmund - 49,"Heiko Herrlich, Mario Basler - 20",/en/comps/20/1994-1995/1994-1995-Bundesliga-Stats,round-robin
1993-1994,GER-BL1,18,Bayern Munich - 44,"Stefan Kuntz, Tony Yeboah - 18",/en/comps/20/1993-1994/1993-1994-Bundesliga-Stats,round-robin
1992-1993,GER-BL1,18,Werder Bremen - 48,"Ulf Kirsten, Tony Yeboah - 20",/en/comps/20/1992-1993/1992-1993-Bundesliga-Stats,round-robin
1991-1992,GER-BL1,20,Stuttgart - 52,Fritz Walter - 22,/en/comps/20/1991-1992/1991-1992-Bundesliga-Stats,round-robin
1990-1991,GER-BL1,18,Kaiserslautern - 48,Roland Wohlfarth - 21,/en/comps/20/1990-1991/1990-1991-Bundesliga-Stats,round-robin
1989-1990,GER-BL1,18,Bayern Munich - 49,Jørn Andersen - 18,/en/comps/20/1989-1990/1989-1990-Bundesliga-Stats,round-robin
1988-1989,GER-BL1,18,Bayern Munich - 50,"Roland Wohlfarth, Thomas Allofs - 17",/en/comps/20/1988-1989/1988-1989-Bundesliga-Stats,round-robin
